movieId,released,title,actors,director,genres,imdbRating,Name,Movie_Info
3,1995-12-22,Grumpier Old Men,Walter Matthau|Ann-Margret|Jack Lemmon|Sophia Loren,Howard Deutch,Comedy|Romance,6.6,Grumpier Old Men,"This was Burgess Meredith's last film. He died of complications of Alzheimer's disease on September 9, 1997. He showed symptoms at the time of this movie's filming, and had to be coached during each scene in which he appeared. Meredith's acting talents are evident despite his failing mental faculties.,In the first movie Grandpa Gustafson says he's 94 years old. In the second movie he says he just turned 95. So less than a year has passed but somehow Melanie's daughter Allie aged 3 or 4 years.,Grandpa Gustafson: What the... what the hell is this?
John Gustafson: That's lite beer.
Grandpa Gustafson: Gee, I weigh ninety goddamn pounds, and you bring me this sloppin' foam?
John Gustafson: Ariel's got me on a diet because the doc said my cholestorol's a little too high.
Grandpa Gustafson: Well let me tell you something now, Johnny. Last Thursday, I turned 95 years old. And I never exercised a day in my life. Every morning, I wake up, and I smoke a cigarette. And then I eat five strips of bacon. And for lunch, I eat a bacon sandwich. And for a midday snack?,Outtakes also show Walter Matthau and 'Jack Lemmon' both forgetting their lines, including the names of their characters' respective love interests.,Featured in Siskel & Ebert: Dead Man Walking/Cutthroat Island/Sudden Death/Grumpier Old Men/Restoration/Waiting to Exhale (1995),(I'll Be Glad When You're Dead) You Rascal You
Written by Spo-De-Odee
Performed by Louis Armstrong and Louis Jordan
Courtesy of MCA Records,While ""Grumpy"" was enjoyable, I think ""Grumpier"" is the better overall movie. More attention is given to the supporting characters, the plot is slightly more complex, the lines are better, the jokes are better, and Lemmon and Matthau once again give excellent performances. Granted, this still isn't as good as it could be, but I think it's a noticeable step up from the original. I really don't get all the negativity toward it... come on, people, it's just a silly comedy. Lighten up.

Speaking of negativity, another reviewer, whom I won't name here (oh all right, it's John Ulmer), seems to think this movie is nothing more than a ""shouting match,"" and is concerned about the age difference between the Old Men and their lady friends. I disagree on both points. The dialogue doesn't have as much shouting this time around, and Matthau's girl is most certainly NOT ""fortysomething."" Believe it or not, she was 61 at the time, and I must say it's quite amazing how good she looks for a woman her age (Matthau was 75--a pretty big age difference, true, but I can't imagine there's a lot of men to choose from when you're single and in your 60s!). I hate to chastise another reviewer like this, but I thought it was worth mentioning.

So in conclusion... it's a good movie. Doesn't deserve its bad rap.

7/10 stars.,"
10,1995-11-17,GoldenEye,Pierce Brosnan|Famke Janssen|Sean Bean|Izabella Scorupco,Martin Campbell,Adventure|Action|Thriller,7.2,GoldenEye,"Licence to Kill (1989) used a contest advertising campaign to help generate interest for the movie. The winner of the contest was promised a cameo role in the next James Bond movie. Unfortunately, due to many production issues, work on this movie did not begin for many years. Nevertheless, the contest winner was given a scene after the long delay. She does not have a speaking part, but you can see her in a lovely gold and black evening dress looking over Xenia Onatopp's (Famke Janssen's) shoulder as she plays Baccarat against Bond (Pierce Brosnan).,Onatopp and Ourumov activate the GoldenEye satellite by turning two keys simultaneously. As with nuclear missiles, two keys are used so that no single person can launch. However, the keys Onatopp and Ourumov use are within arm's reach of each other, defeating their intended purpose as one person could easily turn both keys.,James Bond: Are these pictures live?
M: Unlike the American government, we prefer not to get our bad news from CNN.,James Bond will return.,The UK DVD version edits the scene where Natalya tries to hit Xenia with a branch but Xenia headbutts her and says ""Wait for your turn"". The line is said but the headbutt has been removed.,Edited into Omega 'GoldenEye' Television Commercial (1995),Goldeneye
Music by Bono
Lyrics by The Edge
Performed by Tina Turner,Bond is back and better than ever. OK, he may not be better than ever but he's better than he's been in some time. GoldenEye has a great opening scene that is more entertaining than most entire movies. It involves bungee jumping, guns, motorcycles, planes, and nerve gas among other things. Pierce Brosnan's first effort as Bond is a remarkable one. The movie has good acting, good action, and humor. It's great escapism from start to finish. The women are beautiful and Famke Jannsen and Sean Bean play their roles well. GoldenEye also boasts one of the best finales of the series in which Bond must take on the villain atop a gigantic satellite dish. As stated earlier, Brosnan is terrific as Bond. He's suave, witty, charming, looks good in a suit, and has a capacity for action. In conclusion, this is a thrilling Bond from start to finish and should not be missed. Out of 4 stars - 3.5,Your guide to all the new movies and shows streaming on Prime Video in the US this month.,"
15,1995-12-22,Cutthroat Island,Geena Davis|Frank Langella|Matthew Modine|Maury Chaykin,Renny Harlin,Romance|Adventure|Action,5.6,Cutthroat Island,"Oliver Reed was originally cast as Mordechai Fingers. He was fired after getting in a bar fight and mooning at Geena Davis.,Through her scenes on Cutthroat Island, tan lines from sunglasses are visible on Morgan's face.,Morgan Adams: [about the Lieutenant's gun] By the way, that won't work. See, I took your balls.,To receive a PG certificate the UK cinema version was cut by 72 seconds, with a further 4 seconds of cuts for home video. These changes included numerous edits to fight scenes, Morgan's breast being caressed during a body search, neck and arm breaks, a head butt and kicks to bodies. Almost all the impact sounds in the major fight scenes were also reduced or removed from the soundtrack. A similarly-edited pre-cut version was submitted to the BBFC in 2003 for DVD release by Momentum Pictures, which restored some of the original edits and sound effects but was still cut by an additional one second to obtain a PG rating under then-BBFC policy.,Featured in Siskel & Ebert: Dead Man Walking/Cutthroat Island/Sudden Death/Grumpier Old Men/Restoration/Waiting to Exhale (1995),Despite being fun to watch and very entertaining, this is not a film that draws me back for many viewings. Maybe it's too absurd: a beautiful woman pirate ""Morgan Adams"" (Geena Davis) punching everyone out at every turn can get a ridiculous and tiresome after awhile. It just an excess of everything, almost cartoon-like.

If you haven't had enough action in first hour (and you do), the last half really goes crazy with a non-stop battle scene that goes on and on and on.

Nevertheless, there are some good things to watch in here besides Davis and her pretty face. the movie was filmed in Malta and in Thailand and features some beautiful island photography. The ship is magnificent and when two ships are side-by-side firing cannons at one another, it's an awesome sight and even more awesome sound. You really need to watch this with a good stereo system to appreciate the great audio work in here.

Frank Langella also makes for an interestingly effective villain (""Dawg Brown"") while Matthew Modine (""William Shaw"") chips in with a co-star and male companion for the good guy, er good girl , Davis character.,"
18,1995-12-25,Four Rooms,Amanda De Cadenet|Valeria Golino|Madonna|Sammi Davis,Allison Anders|Robert Rodriguez|Quentin Tarantino| Alexandre Rockwell,Comedy,6.7,Four Rooms,"The reason Bruce Willis is not credited is because he violated SAG rules for acting in this film for no money. He appeared for fun and as a favor to Quentin Tarantino, and acting for free violated SAG rules. SAG agreed not to sue Willis if his name was not included in the credits.,The hotel's vintage telephone switchboard adds an element of comic chaos, but it is not consistently used. Ted answers calls to the front desk by pushing cables into jacks, but Sarah (the little girl in ""The Misbehavers"") is able to dial another room directly. Also, when the partying guys call and don't know what room they are in, Ted should be able to get the room number right off the switchboard.,Angela: Whether you like it or not, you are in the middle of a situation here you cannot just wish your way out of.
Ted the Bellhop: But I've never met you people before! You're complete strangers!
Angela: Everybody starts out as strangers, Ted. It's where we end up that counts.,Bruce Willis does not apear in the credits but his hairstylist does,As indicated in the Technical Specifications link for this page on IMDB, there are two different versions of this film: ""1 hr 38 min (98 min)"" and ""1 hr 50 min (110 min) (workprint)"". Information on the workprint is as follows: ""[The] second version is in English but it is overdubbed with Russian. This makes it almost impossible to work out what is extra as the Russian is much louder than the English and therefore the English cannot be heard for the majority of the movie. I have done some research and have been told that it is impossible to remove the Russian audio. The disc also contains a deleted scene from the Spanish DVD that is an alternate take, not used in either the DVD Version or the Workprint."",Featured in Cinemania: Ypalliloi en drasei! (2009),Sentimental Journey
Written by Bud Green, Les Brown, Ben Homer
Performed by Juan García Esquivel (as Esquivel)
Courtesy of The RCA Records label of BMG Music,It's a pity that the critics gave 'Four Rooms' as hard a time as they did back in 1995, because, for everything that can be said to be wrong with it, it really does sparkle with creativity and a desire to stand out from the rest of the crowd. And let's face it, there was enough popular talent involved, including Alison Anders, Alexandre Rockwell, Robert Rodriguez and, last but not least, Quentin Tarantino, for it to have been hailed as an instant cult classic. Instead, it was bashed into submission and retreated very quickly to the back of nearly everyone's resume. With retrospect most of this reproach was probably ill-deserved - 'Four Rooms' does have its blatant moments of weakness, but then again so do a lot of the more half-baked cookie-cutter comedies which have somehow garnered more admiration than this. On the whole it's a very unusual and interesting combination - an offbeat, frisky and strangely feel-good comedy with some sinister undertones and lots of weird, intricate little details. Consisting of four 20-minute segments, each assembled by a different director's hands, it takes us through the various happenings inside separate rooms of the same hotel on New Year's Eve, as experienced by Ted, the only bellhop still left standing for the night shift. There is the slight feeling of inconsistency in moving from one directing style to the next, and a couple of attempts to interconnect the segments are a little self-contradictory. Some of it works and some it doesn't, but the end result is an episodic anthology that, if nothing too spectacular, still proves itself to be very likable in the long run.

'The Missing Ingredient' and 'the Wrong Man' are often credited with constituting the weaker half of the film, and I can't really say I disagree. 'The Missing Ingredient' tries hard to be risqué, but falls pretty short - for a story concerning a coven of bare-breasted witches trying to extract an unwilling man's semen for use in a ritual, it's remarkably innocuous and fluffy, and the visual effects only add a layer of tackiness to boot. 'The Wrong Man' is a tad more snappy and sports some stylish direction (the shot where Sigfried grabs the ringing telephone is right-on), but is ultimately swallowed up in its frenzied editing. We can vaguely understand what's happening in this segment (if not, then Ted does drop a pretty big hint later on in the film), but it makes itself unnecessarily incoherent, with bizarre imagery that adds nothing but extra confusion (the baby flashback, anyone?). It's almost as though Alexandre Rockwell isn't sure whether he wants us to be in on the whole set-up with Sigfried and Angela, or confused and in the dark like Ted, and in the end tries to accommodate both perspectives, which doesn't really wash.

It's once we reach the second half that the true quality really starts to seep its way in, and the film suddenly becomes very rewarding. 'The Misbehaviours' is a spirited little contribution that combines a moderate dose of macabre darkness with its cartoon-like innocence. Antonio Banderas certainly hits a good spot as the no-nonsense father who appoints Ted to keep an eye on his two young children while he's out, whilst the children themselves are rebellious but not irritating, all making for a surprisingly sharp and sophisticated slice of knockabout. 'The Man from Hollywood', meanwhile, is equally brilliant - Tarantino's vibrant, well-scripted take on Roald Dahl's chilling short story, 'the Man from the South', which pits Ted in the same room as cocky Hollywood director Chester Rush (and it's always a treat to see Quentin himself tackle such a winking, self-depreciating role). It manages to be tense and enjoyable, with the usual smart direction that any Tarantino fan should be able to appreciate. Overall, there's enough vitality in these particular segments to just about redeem the shakiness of the first half.

Besides, we have Tim Roth playing our hapless protagonist throughout, and, yes, that is a lot. He proves himself to be very capable in a comic performance, bringing enough gentle magnetism to his character Ted the bellhop, through his good intentions, perseverance and various neurotic mannerisms, to get us genuinely attached to him. It is hard not to come away with the impression that all four directors had a slightly different take on Ted's disposition - he goes from being timid and impressionable to obtuse and jumpy, then highly-strung and a little devious, and finally composed and relatively rational - but Roth does well in single-handedly bridging these gaps and, with the many mishaps his character has to endure over the course of the night, ensures that all changes in temper seem understandable. He retains his good-natured lovability for the entire running time, and, for anyone who can really relate to poor Ted (like yours truly), he'll have you rooting for him to the very satisfying end.

To my knowledge, there was never any other film quite like 'Four Rooms' and, judging by just how unwelcome this one was made to feel when it arrived, there probably won't be another for quite some time. It remains an ambitious and not entirely successful little sleeper, but has a good deal going for it nonetheless, and I urge all fans of Tarantino, Rodriguez and Roth in particular not to be put off by the bad press and to give it a chance. Who knows? One day, it might just make a fresh start and find the cult audience that appreciates it yet.,"
21,1995-10-20,Get Shorty,Danny DeVito|Gene Hackman|Rene Russo|John Travolta,Barry Sonnenfeld,Thriller|Crime|Comedy,6.9,Get Shorty,"Elmore Leonard said that this is the best film adapted from one of his books.,After he visits Martin Weir's house, Chili's minivan is pointing in a different direction.,Ray ""Bones"" Barboni: I'm from Miami-fuckin'-Beach and you wanna show me the ocean, huh? And what about sun, does it ever shine around here, or is this smog around all the time?
Limo Driver With Sign: They say the smog is the reason we have such beautiful sunsets.
Ray ""Bones"" Barboni: That's what they say, huh? What a bunch of fuckin bullshit.,A line of dialogue from John Travolta is missing from the UK 2-disc edition. The line ""So You're Trying to Say You're Never Gonna Sleep Again?"" comes directly after the credits as a question to Martin Ferrero's character. The line is dubbed and subtitled, and the music plays out as usual, so it's not an audio glitch. The line is present on the first UK MGM-release.,Featured in Siskel & Ebert: The Scarlet Letter/The Celluloid Closet/Jade/Blue in the Face/Les Miserables (1995),A Woman, A Lover, A Friend
Written by Syd Wyche
Performed by Booker T. & the M.G.s (as Booker T. & The MG's)
Courtesy of Atlantic Recording Corporation
By Arrangement with Warner Special Products,I saw this movie in 1995 when first released, but never got around to thinking about a review until I saw it again a few weeks back on late night TV. I'd forgotten just how good it is...

From a novel by Elmore Leonard, this story is arguably the best satire about the Hollywood dream factory yet done, for two reasons: it savagely exposes and lampoons the behaviors of actors, writers, producers and directors and it implicitly compares that business with the business of small time hoodlums and loan sharks. So many times during this story does Chili Palmer (John Travolta) announce, in a bemused fashion: ""I can't believe how youse guys do business out here..."" Chili, as we learn very early, is a loan shark from Miami who is ordered by Bones (Dennis Farina), his new boss, to recover a $15,000 debt from Leo (David Paymer), a loser with a garrulous wife, Fay (Linda Hart) who's helped Leo fake his own death on a plane crash and collect $300,000 as a settlement from the airline. Fay, of course, can't keep her mouth shut and tells Chili that Leo scammed the money and was now living it up in Vegas. Chili, in Vegas, finds out that Leo has gone to LA. But Chili also makes a score: a Vegas casino owner asks him to lean on an LA movie producer, Harry Zimm (Gene Hackman) for $150,000 still owing.

So, off to La-La Land goes Chili, and that's where the fun really starts...

The plot then changes direction, almost completely: Chili, after recovering most of the $300,000 from Leo (and letting him off lightly), gets involved with Harry in two ways  first, convinces him to take on Chili's own idea for a movie production and second, fend off two ""investors"" (who just happened to be drug pushers also) who want their money back from Harry who  you guessed it  is late in getting some other movie off the ground, and has spent all their money.

However, those two pushy investors, Bo Catlett and Ronnie Wingate (Delroy Lindo and John Gries), have another problem: the $500,000 drug money that they can't retrieve from a locker box at LAX and which Chili sees as an opportunity to make more profit. That idea, however, is blown away when Bones  who would like nothing better than to see Chili dead -- arrives from Miami looking to muscle in on Chili's business in LA.

How all that threads together into a gloriously comedic and ironic slice of Hollywood life and death is a testament to Leonard's brilliant story, a great screenplay and cinematography and tight editing  not to mention the almost flawless acting by actors who are continually taking the mickey out of the whole business, right up to the final scene.

There's no doubt that this is Travolta's comeback movie. The guy just oozes dangerous cool and --- ooops  chilling competence as he maneuvers between the high and low life of a strange town, with some very strange people and even stranger business practices. But, kudos also go to Dennis Farina, Gene Hackman and Danny DeVito as the klutzes they portray; and Renee Russo is suitably decorous as Chili's love interest. Watch out for cameos from Bette Midler, Harvey Keitel and other Hollywood luminaries.

And, here's the supreme self-referential irony: there really is a real Chili Palmer in the movie; he's one of the actors who has a bit part as one of Bones' buddies! What a gag...

Finally, note the title: Get Shorty. That's Elmore Leonard's delicious swipe at the whole gangster genre. Remember Get Carter (1971)...? Ho-ho-HO-ho-ho!

Highly recommended.,Looking for something different to add to your Watchlist? Take a peek at what movies and TV shows are coming to streaming this month.,"
22,1995-10-27,Copycat,Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara,Jon Amiel,Drama|Horror|Mystery|Thriller|Crime,6.6,Copycat,"Years later, Sigourney Weaver would state that she was most proud of her work in this film. She worked hard to portray the mindset of an agoraphobic, and has regretted that the movie was lost in a shuffle of thrillers at the time and is not better remembered.,(at around 1h 30 mins) When the copycat killer does the ""Dahmer"" crime, he dumps the decapitated body into the river. Jeffrey Dahmer would've never done this, as he kept all the bodies in his apartment for further sexual gratification, then he dismembered them and submerged them in acid, sometimes he ate parts, also he boiled the heads and kept the skulls for a sculpture he was planning to do. He killed for companion, to have a submissive partner by his side, he killed men he felt attracted to and he would've never gotten rid of a body.,Helen Hudson: Fuck you.
Peter Foley: What?
Helen Hudson: You heard me, you little twerp. Do you think I'm afraid of you?
Peter Foley: I know you are.
Helen Hudson: I know all about you. You're just a sad, second rate, boring, impotent little copycat.,Italian video version tones down most of the violence; most notably, Darryl Lee Cullum is not shown slitting the policeman's throat in the prologue.,Featured in Siskel & Ebert: Get Shorty/Now and Then/Mallrats (1995),Carabu Party
Written and performed by Steven Ray
Courtesy of Windswept Pacific Entertainment, Co.,I'm 48 and often miss the careful production and story/character development of 80s/90s films, elements that are so often missing in many of today's movies, particularly crime-suspense dramas. COPYCAT (1995) is well-produced and gripping, with some interesting quirks of character. Sigourney Weaver gives a nice performance here, but Holly Hunter really defines the show as uncoppish cop M.J. Monahan. Many people will not like her performance for the very reasons that I do like it--Imagine Sarah Palin in the role of a homicide detective, and you'll see what I mean. Harry Connick, JR, is also memorable in his bad-guy role here.

COPYCAT has an interesting premise, but, as horrible as the following may sound, it would have been nice if they'd taken it a bit further, having the killer imitate a few others before the big come-uppance. A little more on Peter Foley, who/why he is, and what motivates him would also have helped. COPYCAT is quite watchable if you're a fan of this genre, but the whole storyline is kind of TV-Land same ol', predictable, and nothing terribly original despite the winning premise.,"
23,1995-10-06,Assassins,Sylvester Stallone|Anatoli Davydov|Antonio Banderas|Julianne Moore,Richard Donner,Action|Crime|Thriller,6.3,Assassins,"During production, Brian Helgeland was brought in to rewrite the script. The Wachowskis, unsatisfied with the rewrites, petitioned to have their names removed from the credits, but were denied this request by the WGA.,After the cemetery gun battle, the police arrest Miguel but follow no other procedures. Since a murder was committed, which makes the cemetery a crime scene, they should at least detain witnesses, including Rath, for questioning.,Electra: Once upon a time, there was this little sparrow, who while flying south for the winter froze solid and fell to the ground. And then to make matters worse the cow crapped on him, but the manure was all warm and it defrosted him. So there he is, he's warm and he's happy to be alive and he starts to sing. A hungry cat comes along and he clears off the manure and he looks at the little bird and then he eats him. And the moral of the story is this: everyone who craps on you is not necessarily your enemy, and everyone who gets you out of crap is not necessarily your friend, and if you're warm and happy no matter where you are you should just keep your big mouth shut.,The Blu-ray, digital platforms and current TV prints had the 2003 Warner Bros. Pictures logo in place of the 1992 logo.,Featured in Siskel & Ebert: Assassins/Dead Presidents/How to Make an American Quilt/Strange Days/Persuasion (1995),Like a Rolling Stone
Written by Bob Dylan
Produced by Don Was
Performed by The Rolling Stones
Courtesy of Promotone B.V./Virgin Records,Assassins is a top notch, big budget thriller that is often over looked when discussing Stallone's filmography. Which is a shame, cause it's one of Sly's better films and his performance as an aging burn out hit-man is quite solid.

Antonio Banderas really steals the show though as the over the top and cocky newcomer who idolizes Stallone's character. Banderas is full of energy and his performance is electric. Miguel Bain is one of Banderas' best roles. An all time great movie villain perhaps.

Many fans forget about Stallone's solid output in the 90's, Cliffhanger is always mentioned but Assassins seems to be forgotten. It's a slick and explosive action thriller from ""Lethal Weapon"" director Donner. Featuring some great dialog and shoot outs between Stallone and Banderas.

On the negative side, the film is too long. Running over 2 hours, ""Assassins"" begins to wear out it's welcome. And the love story between Moore and Stallone is too cheesy and unrealistic to be taken seriously.

Like ""Daylight"" and ""Copland"", ""Assassins"" is one of Stallone's most underrated films from the 90's. An over looked gem that deserves to be seen again.,"
31,1995-08-11,Dangerous Minds,Michelle Pfeiffer|Robin Bartlett|George Dzundza|Courtney B. Vance,John N. Smith,Drama,6.4,Dangerous Minds,"Michelle Pfeiffer was pregnant during production. Although shot out of sequence like most films, it becomes apparent when methods are used to hide the actress' stomach. Methods such as long skirts and bulky sweaters along with scenes where Pfeiffer is shown carrying large objects were used.,When Raul gets dragged away by the police from his fight with Emilio you can see that his ponytail is ruined, but in the next shot when they got out of the school his ponytail was back.,Hal Griffith: How'd they get you to stay?
Louanne: They gave me candy and called me their light.
Hal Griffith: That'll do it.,Featured in Coolio feat. L.V.: Gangsta's Paradise (1995),Mr. Tambourine Man
Written and Performed by Bob Dylan
Courtesy of Columbia Records
By Arrangement with Sony Music Licensing,This movie gives us a little hope that there are people in the world prepared to go to extreme lengths for the good of others. This is a heart warming story, and although at times it's quite tragic, it shows a growing bond between a group of socially discarded students and a very special teacher.

Michelle Pfeiffer's performance is simply wonderful, she captures the passion and warmth of her character perfectly. The rest of the cast are a little mixed, but there is plenty of strength in their performances to cover any cracks.

Overall this is a highly emotional and educational journey, that is enjoyable to watch.

8/10 If you enjoyed this watch 187, its even better.,"
39,1995-07-19,Clueless,Alicia Silverstone|Paul Rudd|Brittany Murphy|Stacey Dash,Amy Heckerling,Comedy|Romance,6.8,Clueless,"Alicia Silverstone (Cher) actually did not know how to correctly pronounce ""Haitians"" in the classroom scene. Director Amy Heckerling told the crew not to correct her because she liked it so much and wanted it to be in the film.,When Cher is taking her driving test, she scrapes against a white car, causing her passenger mirror to be torn off. However, when the DMV proctor asks her to pull over, the mirror is still there and the car is unblemished.,Amber: Ms. Stoeger, my plastic surgeon doesn't want me doing any activity where balls fly at my nose.
Dionne: Well, there goes your social life.,Other than the Paramount Pictures logo and the movie's title, there are no opening credits.,Featured in Jill Sobule: Supermodel (1995),Kids in America
By Ricki Wilde and Marty Wilde
Performed by The Muffs
Produced by Rob Cavallo and The Muffs
The Muffs perform courtesy of Reprise Records,Cher (Alicia Silverstone) is a popular ditz at her local high school in Beverly Hills. She's a spoiled, pampered little princess with all the right social connections and endless wealth. However she has yet to find a man in her life - all the Baldwins (as she and her clique of friends call guys they like) have been taken.

When Cher receives a foreign exchange student, she takes her under her wing and decides to try and find her a boyfriend - ironically without having her own yet. Predictability ensues.

I read ""Emma"" in early high school as I'm sure most kids did, and the movie puts a clever spin on the tale. Alicia Silverstone is surprisingly good in her role, perfectly playing a blond bombshell without a brain but a good heart - only Reese Witherspoon has done such a good job recently at portraying the west coast bimbos. (No offense to the west coast bimbos out there.) The movie's director, Amy Heckerling, has always been rather reliable on the whole and her direction is solid here - she could have turned ""Clueless"" into a crude, unfunny sex comedy with little wit or brains, but instead she takes a rather dubious idea for a film and transforms it into a well-made, well-acted, funny, inspired, lively, witty satire.

Much better than expected.,"
55,1995-12-08,Georgia,Jennifer Jason Leigh|Max Perlich|Mare Winningham|Ted Levine,Ulu Grosbard,Drama,6.4,Georgia,"Rebecca Ablack, who plays Padma, is the younger sister of Raymond Ablack, who plays Joe.,Featured in Alex Meyers: Ginny and Georgia is the weirdest show (2021),I didnt expect much from this show. I anticipated a very high school level drama with superficial problems and i got anything but... this show has layers.... the characters have layers. Whoever designed this show has some untapped talent. As the story progresses you start to justify actions you would never make, and root for people because they deserve a chance and a change at life. This show is POWERFUL. Netflix would be stupid to let this gem fall away.

Im drunk and then i realized i require 600 characters to post a review on IMDB... so let me reiterate. If you are looking for a compelling, character driven adventure... this is it. Absolutely Humanizing.,"
